departamento,codigo_departamento,municipio,codigo_municipio,poblacion,fecha,numero_casos,Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
QUETZALTENANGO,9,COLOMBA,917,55290,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
ALTA VERAPAZ,16,CHISEC,1613,104428,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SACATEPEQUEZ,3,CIUDAD VIEJA,312,40083,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
CHIMALTENANGO,4,EL TEJAR,416,22618,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SAN MARCOS,12,EL TUMBADOR,1213,51299,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
JUTIAPA,22,QUEZADA,2217,23311,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
ESCUINTLA,5,TIQUISATE,506,62895,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SANTA ROSA,6,TAXISCO,609,36117,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SUCHITEPEQUEZ,10,SAN BERNARDINO,1004,16817,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
HUEHUETENANGO,13,AGUACATAN,1327,57977,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
CHIQUIMULA,20,QUETZALTEPEQUE,2009,29377,2021-01-01,1,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SOLOLA,7,PANAJACHEL,710,15840,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SUCHITEPEQUEZ,10,CUYOTENANGO,1002,37283,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
HUEHUETENANGO,13,HUEHUETENANGO,1301,129232,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
ALTA VERAPAZ,16,SAN CRISTOBAL VERAPAZ,1603,79308,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
PETEN,17,LA LIBERTAD,1705,83375,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
ZACAPA,19,SAN DIEGO,1908,7544,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
QUETZALTENANGO,9,SALCAJA,902,20851,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
PETEN,17,EL CHAL,1714,15225,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
HUEHUETENANGO,13,LA DEMOCRACIA,1312,59788,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
ZACAPA,19,HUITE,1910,11948,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
ZACAPA,19,TECULUTAN,1905,20032,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
EL PROGRESO,2,MORAZAN,202,12577,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
RETALHULEU,11,SAN MARTIN ZAPOTITLAN,1104,12905,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
ALTA VERAPAZ,16,FRAY BARTOLOME DE LAS CASAS,1615,76047,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
IZABAL,18,LOS AMATES,1805,63841,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
RETALHULEU,11,SANTA CRUZ MULUA,1103,15835,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
GUATEMALA,1,SAN RAYMUNDO,111,38386,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
HUEHUETENANGO,13,NENTON,1305,49299,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
QUICHE,14,SANTA CRUZ DEL QUICHE,1401,97974,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
PETEN,17,SAYAXCHE,1710,97003,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
ZACAPA,19,GUALAN,1904,49410,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
CHIMALTENANGO,4,YEPOCAPA,412,41304,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
RETALHULEU,11,NUEVO SAN CARLOS,1108,41552,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
HUEHUETENANGO,13,COLOTENANGO,1319,43622,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
ZACAPA,19,USUMATLAN,1906,13071,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
QUETZALTENANGO,9,GENOVA,921,45162,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SANTA ROSA,6,ORATORIO,606,26686,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
CHIMALTENANGO,4,PATZICIA,409,39337,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SOLOLA,7,SAN ANDRES SEMETABAJ,709,14640,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
QUETZALTENANGO,9,CABRICAN,906,27307,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
CHIQUIMULA,20,ESQUIPULAS,2007,55723,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
ESCUINTLA,5,GUANAGAZAPA,508,17234,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SANTA ROSA,6,GUAZACAPAN,611,21906,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
QUICHE,14,SACAPULAS,1416,54845,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
TOTONICAPAN,8,MOMOSTENANGO,805,136909,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SAN MARCOS,12,EL RODEO,1214,19080,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
CHIQUIMULA,20,JOCOTAN,2004,73093,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
SOLOLA,7,SAN PEDRO LA LAGUNA,718,11600,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
TOTONICAPAN,8,SAN ANDRES XECUL,804,29356,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
QUETZALTENANGO,9,SAN MARTIN SACATEPEQUEZ,912,32771,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
QUETZALTENANGO,9,SAN MATEO,910,8658,2021-01-01,0,2021-01-01,GT,Guatemala,AMRO,846,138012,10,4813
